Waktu;Nilai CIF (US$)
January 2023;2698188
January 2023;54631173
January 2023;42104589
January 2023;110054343
January 2023;7252795
January 2023;1109497
January 2023;33886771
January 2023;139848698
January 2023;59318985
January 2023;552284217
January 2023;13955021
January 2023;184462629
January 2023;8249307
January 2023;263222
January 2023;24863636
January 2023;4484822
January 2023;311056285
January 2023;101148152
January 2023;47138411
January 2023;32151342
January 2023;101115604
January 2023;12769542
January 2023;414947529
January 2023;63644576
January 2023;102577688
January 2023;44447330
January 2023;3326570659
January 2023;233644626
January 2023;544044283
January 2023;99019003
January 2023;286002171
January 2023;127086238
January 2023;103129207
January 2023;48486961
January 2023;54565434
January 2023;8551621
January 2023;5049338
January 2023;274498978
January 2023;783171665
January 2023;217737439
January 2023;51031350
January 2023;46146693
January 2023;232005
January 2023;45487900
January 2023;476557
January 2023;16077
January 2023;131704778
January 2023;127463617
January 2023;13140466
January 2023;182101
January 2023;7627495
January 2023;121024791
January 2023;10754761
January 2023;172538590
January 2023;96496138
January 2023;57973273
January 2023;940284
January 2023;30297573
January 2023;56588900
January 2023;147328764
January 2023;9080272
January 2023;14221688
January 2023;12213217
January 2023;86011825
January 2023;3897444
January 2023;2665362
January 2023;4875849
January 2023;46878800
January 2023;62247135
January 2023;41945824
January 2023;193906516
January 2023;894089509
January 2023;378477143
January 2023;124886523
January 2023;8512229
January 2023;171270903
January 2023;6924462
January 2023;33355262
January 2023;1510721
January 2023;3288947
January 2023;70903302
January 2023;91173937
January 2023;2468598458
January 2023;2334415957
January 2023;23821045
January 2023;867201760
January 2023;71966664
January 2023;89499530
January 2023;260685788
January 2023;38360550
January 2023;15477228
January 2023;21879156
January 2023;103835772
January 2023;40514952
January 2023;60434683
January 2023;213225
January 2023;84141338
January 2023;76565
February 2023;30596184
February 2023;37734793
February 2023;43755807
February 2023;133614861
February 2023;6548670
February 2023;728256
February 2023;20182836
February 2023;62088386
February 2023;75230984
February 2023;449726565
February 2023;15653641
February 2023;129072176
February 2023;5474031
February 2023;81592
February 2023;20536509
February 2023;4936033
February 2023;240802335
February 2023;76255576
February 2023;41589954
February 2023;23615023
February 2023;79441506
February 2023;14205939
February 2023;313300881
February 2023;31001061
February 2023;83199557
February 2023;155506110
February 2023;2718893451
February 2023;176050143
February 2023;539361902
February 2023;86192008
February 2023;204058650
February 2023;104513988
February 2023;93866748
February 2023;47965542
February 2023;50226220
February 2023;7349699
February 2023;3242548
February 2023;262362926
February 2023;664184349
February 2023;195289317
February 2023;41138311
February 2023;30701653
February 2023;235475
February 2023;36881331
February 2023;377139
February 2023;21243
February 2023;124788330
February 2023;121798301
February 2023;14160560
February 2023;48357
February 2023;4786212
February 2023;85649671
February 2023;1725275
February 2023;100016821
February 2023;70078737
February 2023;42084707
February 2023;1231121
February 2023;18436467
February 2023;39337855
February 2023;80298338
February 2023;17978323
February 2023;19394874
February 2023;8533150
February 2023;55334043
February 2023;2984318
February 2023;669587
February 2023;4534409
February 2023;36695870
February 2023;47151557
February 2023;35300738
February 2023;182531551
February 2023;839602173
February 2023;366061318
February 2023;107971052
February 2023;5504855
February 2023;142827487
February 2023;5140193
February 2023;38412975
February 2023;1934590
February 2023;4118511
February 2023;53240391
February 2023;51427395
February 2023;2289172046
February 2023;1979017013
February 2023;41282090
February 2023;873702052
February 2023;15487433
February 2023;63668448
February 2023;274998093
February 2023;21191129
February 2023;9849886
February 2023;3380463
February 2023;103537107
February 2023;26961751
February 2023;35725341
February 2023;118996
February 2023;90800639
February 2023;693674
March 2023;46440528
March 2023;60908183
March 2023;45649712
March 2023;144031902
March 2023;12076028
March 2023;724082
March 2023;79933188
March 2023;129526727
March 2023;62165981
March 2023;362150010
March 2023;15061660
March 2023;252634066
March 2023;10266117
March 2023;217568
March 2023;24013047
March 2023;5248526
March 2023;378117043
March 2023;81018686
March 2023;57056788
March 2023;32730836
March 2023;97265463
March 2023;19220978
March 2023;325664726
March 2023;74542783
March 2023;119019219
March 2023;163322773
March 2023;3476290215
March 2023;231031749
March 2023;667005332
March 2023;107280381
March 2023;207583039
March 2023;133603971
March 2023;115816698
March 2023;61270746
March 2023;63060364
March 2023;16925412
March 2023;6732958
March 2023;310260902
March 2023;877040778
March 2023;216530347
March 2023;50688367
March 2023;47142803
March 2023;572012
March 2023;46511533
March 2023;527668
March 2023;25348
March 2023;161994613
March 2023;170113504
March 2023;19952445
March 2023;92496
March 2023;7353214
March 2023;134781682
March 2023;3825874
March 2023;166560070
March 2023;111920172
March 2023;66086377
March 2023;919582
March 2023;29195212
March 2023;57778696
March 2023;153570840
March 2023;35103835
March 2023;31594954
March 2023;14946331
March 2023;99880205
March 2023;4440033
March 2023;2112674
March 2023;6569160
March 2023;65776855
March 2023;62589655
March 2023;40871633
March 2023;221509853
March 2023;1221802733
March 2023;480574014
March 2023;143240330
March 2023;6517070
March 2023;188119222
March 2023;5944139
March 2023;44878078
March 2023;2410563
March 2023;5465311
March 2023;60814422
March 2023;83202058
March 2023;2647340579
March 2023;2561908653
March 2023;92559579
March 2023;1012090684
March 2023;289658599
March 2023;86593631
March 2023;331271383
March 2023;31538525
March 2023;13159641
